utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,svalm2,haednr,fjibmhl,top_floor,two_storey,storeys_3,lyftuhus,age_studull,bath_fixtures,fjbilsk,lodpflm,innig_factor,nybygging,fjarmalastofnunselur,hverfi,gata
6/25/2015,29500,29429,1200,"112,2",0,0,0,0,0,"7,9",3,6,0,0,0,0,39,2,0,0,"1,07",0,0,601,0
6/20/2015,18400,18383,1200,"65,9",0,0,0,0,"7,1","12,1",1,6,0,0,0,0,45,3,0,133,1,0,0,601,0
7/4/2015,27250,27208,1200,110,0,0,0,0,"7,7","13,3",1,24,0,0,0,0,45,2,0,"203,9",1,0,0,601,0
7/18/2015,31000,30933,1200,"120,9",0,0,0,24,"9,3",7,4,8,0,0,0,0,41,2,0,193,1,0,0,601,0
7/26/2015,23200,22987,1200,"77,6",0,0,0,0,"7,6","12,7",3,18,0,0,0,0,45,2,0,"153,6",1,0,0,601,0
8/14/2015,17700,17700,1200,"70,2",0,0,0,0,"6,7","5,7",3,9,0,0,0,0,45,2,0,172,"1,11",0,0,601,0
7/16/2015,38500,38331,1200,"149,5",0,0,0,"30,5","8,9",12,2,3,0,0,0,0,37,2,0,394,1,0,0,601,0
8/22/2015,26000,26986,1200,"86,3",0,0,0,0,7,6,1,9,0,0,0,0,45,2,0,239,1,0,0,601,0
8/27/2015,32966,33845,1200,"103,5",0,0,0,"24,8","15,4",5,4,8,0,0,0,0,39,3,0,170,1,0,0,601,0
8/29/2015,16400,16389,1200,"42,2",0,0,0,0,"1,6",0,2,67,0,0,0,1,44,2,0,"45,8",1,0,0,601,0
8/22/2015,26900,26851,1223,"62,7",0,0,0,0,0,"5,7",3,59,0,0,0,1,26,2,0,120,1,0,0,601,0
9/6/2015,26500,26486,1200,"91,9",0,0,0,0,"5,3","5,5",2,6,0,0,0,0,43,3,0,134,1,0,0,601,0
9/17/2015,22000,21986,1200,61,0,0,0,0,"16,1",0,1,18,0,0,0,0,45,2,0,"131,4",1,0,0,601,0
9/20/2015,26800,26731,1200,"96,9",0,0,0,0,"9,8","6,8",3,6,0,0,0,0,45,2,0,221,1,0,0,601,0
9/24/2015,30200,30009,1200,"109,8",0,0,0,"24,8","17,1","4,9",2,8,0,0,0,0,39,3,0,179,1,0,0,601,0
9/23/2015,21500,21469,1200,65,0,0,0,0,"3,5",0,5,67,0,0,0,1,44,2,0,"71,5",1,0,0,601,0
9/26/2015,25300,23031,1200,"118,2",0,0,0,0,0,"13,4",3,9,0,0,0,0,38,2,0,302,"0,96",0,0,601,0
9/19/2015,22400,22168,1223,"41,7",0,0,0,0,0,"5,7",3,59,0,0,0,1,26,2,0,85,1,0,0,601,0
10/9/2015,26100,26082,1200,"86,5",0,0,0,0,"6,7","12,6",2,6,0,0,0,0,43,3,0,135,1,0,0,601,0
10/14/2015,26000,25944,1200,"89,7",0,0,0,0,0,"13,6",4,12,0,0,0,0,42,2,0,195,"1,11",0,0,601,0
10/16/2015,27520,27520,1200,"107,2",0,0,0,0,0,"10,2",3,6,0,0,0,0,44,2,0,213,"1,11",0,1,601,0
10/25/2015,30900,30885,1200,"100,8",0,0,0,0,"7,1","9,9",2,6,0,0,0,0,43,2,0,217,1,0,0,601,0
