utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,two_livunits,two_storey,storeys_3,age_studull,not_concrete,stud1house,bath_fixtures,fjbilsk,lodpflm,landratio,innig_factor,utig_factor,fjarmalastofnunselur,hverfi,gata
4/2/2016,32100,32036,1126,"114,2",0,0,0,24,0,0,0,0,40,0,1,2,0,384,"0,604","0,89","0,96",1,320,0
4/10/2016,62500,59032,1111,209,"104,5",0,0,40,0,0,1,0,40,0,1,6,0,1088,"1,711","0,94",1,0,320,0
4/8/2016,51800,51775,1121,"136,8",0,0,0,"26,6",0,0,1,0,40,0,1,3,0,225,"0,354","0,98",1,0,320,15
4/8/2016,49000,48875,1121,"126,6",0,0,0,"28,8",0,0,1,0,40,1,1,2,0,328,"0,516",1,1,0,320,15
4/21/2016,47000,46916,1126,"97,3",0,0,0,28,"56,8",0,0,0,40,0,1,3,0,"432,5","0,68","1,26","0,96",0,320,0
4/29/2016,55500,55347,1125,"148,6","74,3",0,0,"29,6","29,6",0,1,0,29,0,1,4,0,381,"0,599","1,09","1,07",0,320,15
3/25/2016,49900,49354,1121,"184,8","67,8",0,0,"43,2",0,0,1,0,40,0,1,2,0,336,"0,528","1,11",1,0,320,63
4/27/2016,63000,62928,1111,"194,7",0,0,0,49,0,0,1,0,40,0,"1,089",3,0,916,"1,44",1,1,0,320,0
5/1/2016,39500,39452,1126,"110,1",0,0,0,0,"36,3",0,0,0,40,0,1,2,0,333,"0,524",1,1,0,320,0
5/6/2016,48000,47979,1111,"134,5",0,0,0,35,0,0,0,0,40,1,"1,199",2,0,938,"1,475","0,89","0,96",0,320,0
5/11/2016,65500,65443,1121,"216,6","89,7",0,0,"33,3",0,0,1,0,40,0,1,4,0,421,"0,662","1,04","0,96",0,320,0
5/19/2016,71500,70293,1125,"251,3","94,5",64,0,"26,6",0,0,0,1,33,"0,5",1,4,0,374,"0,588","1,1","1,11",0,320,0
5/19/2016,85000,83752,1111,"279,4","126,9",0,0,31,0,0,1,0,40,0,"1,109",5,0,622,"0,978",1,1,0,320,15
5/13/2016,54000,53904,1121,"190,8","63,6",0,0,0,0,0,0,1,40,0,1,5,0,225,"0,354","0,98",1,0,320,15
